Park num,Site name,Municipal,Bus stops 5mins,Bus stops 10mins,Bus stops 20mins,Bus stops 30mins,Number of access points,Haptic access,Visual Access (Viewshed area in m2)
106,Deering Island Park,Vancouver,0,0,0,24,2,0.3369290754771722,134495.95
108,Charleson Park,Vancouver,5,25,109,301,15,0.458285114599974,287902.8
110,Hadden Park,Vancouver,0,6,35,147,6,0.3279058520646511,1505824.74
111,Vanier Park,Vancouver,0,3,77,206,9,0.4454690013461079,847640.28
112,George Wainborn Park,Vancouver,7,32,130,306,13,0.4109809630528401,63943.73
113,Habitat Island Park,Vancouver,1,14,133,336,7,0.5354324457108353,45554.98
114,CRAB Park at Portside,Vancouver,2,33,165,256,6,0.3278107654631854,318963.18
115,Volunteer Park,Vancouver,6,17,57,108,1,0.197278463811733,342243.08
116,LYNN CANYON PARK,North Vancouver - District,7,32,77,144,14,0.4562419927823264,143.9
118,Maple Ridge Park,Maple Ridge,9,13,31,47,8,0.3448119063249294,1194.39
119,Galette Park,Coquitlam,0,0,9,37,2,0.3377746936107095,1524.08
120,Town Centre Park,Coquitlam,19,43,107,187,25,0.3872646102555562,45317.28
121,Como Lake Park,Coquitlam,6,24,71,145,15,0.2894981662508613,34911.38
122,Oxley Street Park,West Vancouver,3,8,28,52,1,0.0799761913993068,1113533.0
123,Latimer Park,Surrey,4,7,18,33,12,0.2236037658471934,171.99
125,Seymour River Heritage Park,North Vancouver - District,1,9,53,108,3,0.499072117968219,6149.22
126,Capilano River Regional Park,Metro Vancouver,6,18,71,145,11,0.3819841569456954,16966.25
127,Klee Wyck Park - DNV,North Vancouver - District,1,5,38,110,1,0.3731753633221092,0.0
128,Klee Wyck Park - DWV,West Vancouver,1,7,46,123,1,0.2761907667253142,9.99
129,Cross's Cabins,Maple Ridge,1,2,13,20,6,0.3860663840695575,1432.24
130,Davidson's Pool,Maple Ridge,0,0,11,28,1,0.2044062998383107,191.96
131,Coquitlam River Greenway and Natural Areas,Coquitlam,4,9,45,96,2,0.4264449387198979,3718.6
132,Hockaday Park,Coquitlam,0,2,15,53,2,0.1207639179039188,0.0
134,Marina Park,Langley - Township,0,3,12,18,2,0.4452438740529816,230384.94
135,Bedford Channel Landing,Langley - Township,0,0,8,16,7,0.3450862103922263,162080.34
136,Westwood Park,Port Coquitlam,8,23,112,238,11,0.4496801680928085,4145.19
137,Klootchman Park,West Vancouver,3,8,15,28,1,0.4256048479206557,1375145.14
138,John Lawson Park,West Vancouver,9,19,61,121,8,0.2979938691398393,1391464.67
139,Elgin Heritage Park,Surrey,2,8,14,28,4,0.342367964280744,273598.25
140,National Park,Canada - federal,0,2,10,16,1,0.3409454365214969,1225.27
141,Deep Cove Park,North Vancouver - District,4,5,12,38,13,0.3636504511827688,303871.07
142,Strathcona Park,North Vancouver - District,0,0,18,39,1,0.0757436359590367,335582.0
143,Hume Park,New Westminster,3,25,83,173,11,0.3856141397148036,0.0
144,Park Site on South East False Creek (Hinge Park),Vancouver,1,17,126,329,13,0.0895186357482314,19537.27
145,"Stanley Park (Seawall, Second Beach, Third Beach)",Vancouver,1,12,43,111,99,0.4992180940839518,7873614.68
146,Lost Lagoon,Vancouver,8,18,53,158,30,0.4264696809345809,159159.43
147,Beaver Lake,Vancouver,0,3,11,36,12,0.3247986434274683,0.0
