park_num,site_name,physical,visual,haptic,component_sum,physical_share,visual_share,haptic_share,ternary_x,ternary_y
99,Gladstone-Riverside Park,0.2416704840457815,0.6664439704168154,0.7168629848671021,1.624977439329699,0.148722362659675,0.4101250603772829,0.4411525769630421,0.630701348858804,0.38204933859496415
100,Kinross Corridor – South,0.19682942349202556,0.02845156120933686,0.39350391302148785,0.6187848977228503,0.3180902187761282,0.0459797278731908,0.635930053350681,0.3639447545485313,0.5507315812316831
101,New Brighton Park,0.08783839529750984,0.34745016830979225,0.6926984007674815,1.1279869643747835,0.07787181773523116,0.3080267585382741,0.6141014237264948,0.6150774704015215,0.5318274334473363
102,David Lam Park,0.7755512946301061,0.2568757754612278,0.4358475162633396,1.4682745863546733,0.5282058967972667,0.17495077409122808,0.2968433291115053,0.32337243864698073,0.2570738639545084
103,Coopers' Park,0.9053600177771745,0.23211186939621284,0.4350566135714421,1.5725285007448293,0.5757352043847536,0.14760423692560923,0.27666055868963724,0.2859345162704279,0.23959507205042146
104,Creekside Park,1,0.5621929193675169,0.4183157618161311,1.9805086811836479,0.5049207860085478,0.2838628907354868,0.21121632325596543,0.3894710523634695,0.18291870163361196
105,Riverfront Park,0.20146834251167972,0.6196481664973181,0.31088419142547785,1.1320007004344756,0.17797545746601898,0.547392034527443,0.2746325080065381,0.6847082885307121,0.23783872863869523
106,Deering Island Park,0.04124030293004478,0.24362601938704495,0.5331731362098391,0.8180394585269288,0.05041358641098753,0.29781695350704784,0.6517694600819646,0.6237016835480301,0.5644489098418489
108,Charleson Park,0.5463766283253412,0.53404762248454,0.7523104890384383,1.8327347398483194,0.2981209535923133,0.29139384487726727,0.4104852015304195,0.496636445642477,0.3554906124029182
110,Hadden Park,0.134519759617821,0.7956294510767172,0.5168795482937071,1.4470287589882453,0.09296274091461491,0.5498366539950574,0.35720060509032764,0.7284369565402212,0.3093447982553968
111,Vanier Park,0.11820371366026028,0.5785795191790821,0.7291679313849062,1.4259511642242486,0.08289464367776292,0.4057498837934209,0.5113554725288162,0.6614276200578291,0.44284682957415045
112,George Wainborn Park,0.8291677903655703,0.10920897328215436,0.666891529893338,1.6052682935410627,0.5165291021456035,0.0680316017712218,0.4154392960831746,0.2757512498128091,0.35978098413835424
113,Habitat Island Park,0.45231234975179113,0.10527612819960272,0.8916184463484023,1.449206924299796,0.3121102598721932,0.07264395886768779,0.6152457812601191,0.38026684949774736,0.532818476142467
114,CRAB Park at Portside,0.5356997096885345,0.25782532193849594,0.5167078466933147,1.3102328783203452,0.40885839346000497,0.1967782416428257,0.3943633648971693,0.39395992409141034,0.3415286923228609
115,Volunteer Park,0.23676830190446732,0.24727035493611935,0.28100055722271655,0.7650392140633032,0.30948518396453845,0.32321265418906875,0.3673021618463928,0.5068637351122651,0.3180930030239195
116,LYNN CANYON PARK,0.4375196679384598,0.00192935046045704,0.7486211439521787,1.1880701623510956,0.3682607995748698,0.0016239364657041886,0.630115263959426,0.31668156844541717,0.5456958259012
118,Maple Ridge Park,0.20171346511142724,0.01466741870765499,0.5474074726075945,0.7637883564266768,0.2640960200743668,0.019203511789935297,0.7167004681356979,0.37755374585778423,0.620680812309714
