catchment_min,outcome,specification,family,N,term,estimate,std_error,statistic,p_value,conf_low,conf_high,inference,term_label,significance
20,transit,controlled,SAR_error,112,z_bachelors,-0.3164164096604049,0.14529057300577156,-2.1778178935796166,0.029419597185489366,-0.6011859327517172,-0.03164688656909265,SAR model-based,Bachelor's degree or higher (%),*
20,transit,controlled,SAR_error,112,z_visible_minority,-0.07593545106075998,0.11798112070580502,-0.6436237476512099,0.5198194470752431,-0.3071784476441378,0.15530754552261783,SAR model-based,Visible-minority residents (%),
20,transit,controlled,SAR_error,112,z_indigenous,-0.13587142130127774,0.07385717079857974,-1.8396510431170012,0.065819485393245,-0.2806314760664941,0.008888633463938561,SAR model-based,Indigenous identity residents (%),
20,physical,controlled,SAR_error,112,z_shelter,-0.26191190576838386,0.13894534974277253,-1.884999435053116,0.059429914090337155,-0.5342447912642181,0.010420979727450319,SAR model-based,Principal accommodation expenditure,
20,physical,controlled,SAR_error,112,z_low_income,0.15402463517439405,0.11370158303640228,1.3546393204137017,0.17553249935475956,-0.06883046757695441,0.3768797379257425,SAR model-based,Low-income residents (%),
20,physical,controlled,SAR_error,112,z_bachelors,-0.001086957081637801,0.14575309419518,-0.00745752320140965,0.9940498125287518,-0.2867630217041906,0.284589107540915,SAR model-based,Bachelor's degree or higher (%),
20,physical,controlled,SAR_error,112,z_visible_minority,-0.01694951165679644,0.12081842970426591,-0.1402891239216129,0.8884315571974857,-0.2537536338771576,0.21985461056356473,SAR model-based,Visible-minority residents (%),
20,physical,controlled,SAR_error,112,z_indigenous,-0.0447866527625764,0.0777184950882901,-0.57626762730927406,0.5644343006692596,-0.197114903135625,0.10754159761047219,SAR model-based,Indigenous identity residents (%),
20,visual,controlled,SAR_lag,112,z_shelter,0.06483235794223234,0.11891973502327359,0.5451774504000039,0.5856314788245984,-0.16825032270338391,0.29791503858784857,SAR model-based,Principal accommodation expenditure,
20,visual,controlled,SAR_lag,112,z_low_income,-0.16342329066177835,0.1262854099817343,-1.2940789493055107,0.1956381519446393,-0.41094269422597757,0.08409611290242086,SAR model-based,Low-income residents (%),
20,visual,controlled,SAR_lag,112,z_bachelors,-0.1139259421124632,0.12521515068799272,-0.9098415126803654,0.36290609823283604,-0.3593476374609289,0.13149575323600254,SAR model-based,Bachelor's degree or higher (%),
20,visual,controlled,SAR_lag,112,z_visible_minority,0.17343998496711624,0.105002758326689,1.651765989113376,0.09858226450038088,-0.0323654213531942,0.3792453912874267,SAR model-based,Visible-minority residents (%),
20,visual,controlled,SAR_lag,112,z_indigenous,-0.0070018671867747954,0.08661648666957161,-0.0808375801882363,0.9355711211845388,-0.17677018105913514,0.16276644668558557,SAR model-based,Indigenous identity residents (%),
20,haptic,controlled,OLS,112,z_shelter,0.008913144474270877,0.11873598152252503,0.07506692040592593,0.9403084966357202,-0.22380937930987815,0.24163566825841992,HC3 robust,Principal accommodation expenditure,
20,haptic,controlled,OLS,112,z_low_income,-0.03941818919403087,0.12302101461859288,-0.3204183392263566,0.7493067134342908,-0.2805393778464729,0.2017029994584112,HC3 robust,Low-income residents (%),
20,haptic,controlled,OLS,112,z_bachelors,0.0213979013536316,0.10892294234718922,0.1964499020364903,0.8446489203879601,-0.19209106564685927,0.23488686835412245,HC3 robust,Bachelor's degree or higher (%),
20,haptic,controlled,OLS,112,z_visible_minority,-0.036167720372521237,0.1036078968669471,-0.34908266132423954,0.7277468551360307,-0.23923919823173756,0.16690375748669506,HC3 robust,Visible-minority residents (%),
